Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,Sentiment - user_id,sarah_parents.check,Sentiment - sarah_parents.check,sarah_parents.response,Sentiment - sarah_parents.response,blue_team.check,Sentiment - blue_team.check,blue_team.response,Sentiment - blue_team.response,bill_holiday.check,Sentiment - bill_holiday.check,bill_holiday.response,Sentiment - bill_holiday.response,john_party.check,Sentiment - john_party.check,john_party.response,Sentiment - john_party.response,rebecca_swimming.check,Sentiment - rebecca_swimming.check,rebecca_swimming.response,Sentiment - rebecca_swimming.response,sally_wine.check,Sentiment - sally_wine.check,sally_wine.response,Sentiment - sally_wine.response,belinda_meeting.check,Sentiment - belinda_meeting.check,belinda_meeting.response,Sentiment - belinda_meeting.response,lucy_loan.check,Sentiment - lucy_loan.check,lucy_loan.response,Sentiment - lucy_loan.response,michael_breakfast.check,Sentiment - michael_breakfast.check,michael_breakfast.response,Sentiment - michael_breakfast.response,sean_call.check,Sentiment - sean_call.check,sean_call.response,Sentiment - sean_call.response,Have you ever taken part in a similar study before?,Prolific URL Redirect
1,"Sep 11, 2020 10:07:54 am","Sep 11, 2020 10:12:56 am",Complete,,,,English,https://app.surveygizmo.com/builder/test-link-proxy/id/5834655?__sgtarget=1&sLanguage=English&__sg_build_test=1&__sg_collab_test=1&__sg_tester=a2VhbmVtYXJrQG1hYy5jb20%3D&__sg_tester_name=TWFyaw%3D%3D&__sg_tester_id=725208&link_id=0&__sg_skip_actions=1&preview_frame=true,1599833274_5f5b84ba400412.99365936_test,positive,absent,5eb555555555555555555555,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,.,0,No,
3,"Sep 11, 2020 10:40:23 am","Sep 11, 2020 10:45:47 am",Complete,,,,English,,1599835223_5f5b8c5715e730.51611116,positive,absent,5e5930b7b2b1bf13a2dcc74a,0,She has not seen them for a few weeks,0,They were not home,0,Red Team in football,0,The blue team scored 5 goals,0,He has been working hard for months,-0.1027,He has to travel to the embassary to get a new passport,0,Having a dinner party,0.4019,The guests find a skin in the potatoes,0,Go for a swim in the sea,0,The weather cleared up and the sea became settled,0.1027,A bottle of wine,0,The neighbour told her that they had a bottle of wine that Sally could take,0,On a business meetin,0,The cab broke down and she was late,-0.4215,A new car,0,We buy any car contacts her and phillip Scholefield takes her car away for more money,0,To have this breakfast and make a cup of tea,0,He realsis that he has left hs breakfast cooking and sets up off the fire alarm,-0.5859,Call his mother to let her know that he is safe,0.4404,He finds WIFI and is able to video call her instead,0,No,
4,"Sep 11, 2020 10:40:11 am","Sep 11, 2020 10:47:02 am",Complete,,,,English,,1599835211_5f5b8c4b0853e1.69449016,positive,absent,5ee0f94d12ce930c1ab1d574,0,she hasnt seen them for a few weeks ,0,the front door opened by itself ,0,they want to beat the red team at foot ball,0.0772,the red team score goals and go into the lead ,0,he has been working hard ,-0.1027,his luggage is eventually found ,0,having a dinner party ,0.4019,his wife then burns the potatoes ,0,go for a swim ,0,it starts to rain ,0,a bottle of wine ,0,her neighbour askes her round for a drink ,0,a business meeting ,0,she realises she left her luggage in the taxi ,0,a new car ,0,her loan is approved ,0.4215,to have breakfast ,0,there was a knock on the door and it was his mother with shopping ,0,contact his mother ,0,he spots a payphone ,0,No,
5,"Sep 11, 2020 10:41:03 am","Sep 11, 2020 10:47:42 am",Complete,,,,English,,1599835263_5f5b8c7f4f7cb3.62405661,positive,absent,5de3d947e0a5173e4005da88,0,She hasn't seen them in a few weeks.,0,Her parents aren't in and do not answer the door. ,0,They want to win against the Red Team playing football. ,0.7096,The Red Team won.,0.5719,He has been working hard for months. ,-0.1027,He receives a call his luggage has been found. ,0,They are having a dinner party.,0.4019,John accidentally cuts his finger open while peeling potatoes with a knife. ,-0.5574,She wants to swim in the sea. ,0,Rebecca goes for a swim; ignoring the lifeguard. ,-0.4019,A bottle of wine. ,0,The neighbour gives her a bottle of wine. ,0,For a business meeting. ,0,She walks to the right office. ,0,She wants to buy a new car. ,0,Lucy decides to keep her car. ,0,To have breakfast,0,He contacts old University friends to see if they would like to come round and join him for a cup of tea. ,0.7783,He wants to contact his mother to let her know he's safe.,0.4404,Sean manages to get through to his mother but the signal cannot support the call ,-0.438,No,
6,"Sep 11, 2020 10:41:46 am","Sep 11, 2020 11:04:21 am",Complete,,,,English,,1599835306_5f5b8caa0ff628.24387887,positive,absent,5f52c34dbc9a931b2df43460,0,Because she hasn't seen them for a few weeks,0,Maybe her parents were not home when she got there,0,The Blue Team wants to win against the Red Team in the Football sport.,0.5859,Maybe one of the Blue Team members got injured,-0.4019,Because he has been working hard for months.,-0.1027,He lost his luggage which means his passport is missing too since he put it there.,-0.5423,They are having a dinner party that evening.,0.4019,He couldn't find the peeler,0,She wants to go for a swim in the sea,0,Rebecca drowned because she ignored the lifeguard's warning,-0.8225,She wants to buy a bottle of wine.,0,The corner-shop near her house was shut,0,Because she has to attend a business meeting there.,0,She was taken to a wrong office block,-0.7184,Lucy wants to buy a new car.,0,She couldn't get the loan for a new car from the bank,0,To have his breakfast.,0,He couldn't find tea bags in the kitchen to make his tea.,0,He wants to contact his mother to tell her he is safe ,0.4404,The network signal was poor so he couldn't make the call,-0.4767,No,
7,"Sep 11, 2020 10:44:11 am","Sep 11, 2020 11:09:56 am",Complete,,,,English,,1599835451_5f5b8d3bdda956.75964770,positive,absent,5e417093c3444f000ac9cb1e,0,Because she hasn't seen them in a few weeks,0,It starts raining,0,The Red Team at football,0,The Red Team win at full-time,0.5859,He has been working hard for months,-0.1027,His journey back was delayed,-0.2263,Having a dinner party,0.4019,His wife bursts into tears and says she wants a divorce,-0.2263,Go for a swim in the sea,0,A whale breaches in close view of the beach,0,A bottle of wine,0,She finds a bottle of wine at home,0,For a business meeting,0,The taxi gets a flat tire,0,A new car,0,She finds money hidden in the door panel of her new car,0,To have his breakfast,0,Michael burns himself on the kettle,0,To contact his mother to let her know he is safe,0.4404,Sean's mum taps him on the shoulder,0,No,
8,"Sep 11, 2020 10:45:44 am","Sep 11, 2020 11:04:26 am",Complete,,,,English,,1599835544_5f5b8d98ba73c9.26206518,positive,absent,5adf2a17c2b5db0001d8dc29,0,because she hasn't seen them for a few weeks,0,and the clouds suddenly opened up and it started pouring with rain,0,The blue team are playing football against the red team,0.2023,The red team have a sudden flurry of goals and win the game,0.5859,because he has been working hard for months,-0.1027,He discovers that because he lost his passport in his bag he is not allowed to get on the plane so he goes home and has a great time getting to know his neighbours,0.4215,Having a dinner party,0.4019,The jacket potato exploded in the oven,0,she wants to swim in the sea,0,The lifeguard says there have been shark sightings nearby so it is unsafe to swim,0,a bottle of wine,0,They discover they grew up round the corner from each other,0,For a business meeting,0,She has a nice walk to the office and bumps into a celebrity en route,0.4215,a new car,0,SHe says she will sell it anyway as she has too many children to fit into her current car ,0.3612,to have breakfast,0,he remembered how he and his flatmates used to steal tea bags from one another and the many silly places they used to come up with to hide them from one another,-0.5859,Talk to his mother on the telephone,0,He suddenly drops his phone and it breaks.,0,No,
9,"Sep 11, 2020 10:46:44 am","Sep 11, 2020 10:53:05 am",Complete,,,,English,,1599835604_5f5b8dd4d91a06.47265871,positive,absent,5e21d4156ebb72000df49f65,0,Because she has not seen them in a few weeks,0,they were not in,0,"The red team, football.",0,a player was injured,-0.4019,He has been working hard for 4 months,-0.1027,He realises his passport was in his lost luggage,-0.3182,Having a dinner party,0.4019,Cuts himself cooking,-0.296,Swim in the sea,0,She sees a shark,0,Bottle of wine,0,the neighbour offers her a bottle of wine,0,For a business meeting,0,She has forgotten her work ID,-0.2263,A new car,0,she is refused a loan,-0.296,to have breakfast,0,He ran out of milk as well,0.2732,Contact his mum,0,He ran out of battery,0,No,
10,"Sep 11, 2020 10:47:31 am","Sep 11, 2020 11:11:09 am",Complete,,,,English,,1599835651_5f5b8e03935e51.18482482,positive,absent,5d45e3bdf1d31800163cf999,0,Because she hasn't seen them in a few weeks.,0,Someone other than her parents answered the door,0,They are playing against the Red Team and the sport is Football,0.2023,Red Team were able to overtake them in goals somehow.,0,He's been working hard,-0.1027,His luggage on the return flight gets swapped with someone else who had his original luggage,0.3182,having a dinner party,0.4019,His wife hid the potato peeler to test how good John is with a normal knife,0.3612,To go for a swim,0,A shark appears!,0,A bottle of wine,0,The neighbour accidentally bought two bottles of wine instead of one and has one to spare for Sally,-0.34,For a business meeting,0,The meeting is cancelled,-0.25,A new car,0,Someone contacts her wanting to pay a lot for the old car,-0.1027,To have breakfast,0,An old uni buddy shows up at his door with tea,0,Contact his mother to tell her he is safe,0.4404,The signal cuts out,-0.296,No,
11,"Sep 11, 2020 10:46:49 am","Sep 11, 2020 11:29:45 am",Complete,,,,English,,1599835609_5f5b8dd9408a59.58234306,positive,absent,5f310877a901af046cd5f569,0,She decided to visit her parents because she had not seen them in a few weeks.,0,She finds out their not home.,0,The Blue team want to win against the Red team in football.,0.6249,"Over the course of the second half Red team manage to score three goals themselves, and eventually equalise with a fourth during the last minute of extra time. It turns into a penalty shootout, and Reds manage to win with a final shot that bounces off the keeper, off the post, then back off the keeper into the goal.",0.10115,Because he has been working hard for months,-0.1027,"After getting back home, still without suitcase Bill flops down backwards onto his bed, but instead of feeling a familiar comfort he instead feels something big and hard. Pulling himself back up he looks at his bed and sees his suitcase. He had forgotten to take it in the first place.",0.125133333,They are having a dinner party,0.4019,"After carefully and slowly cutting the skin off each potatoe with a kitchen knife, John reaches into his pocket to grab his phone to check the time, but instead of pulling out his phone he quickly pulls back his hand as he feels one of his fingers catch on something sharp. Going back in slowly and carefully he pulls the missing potatoe peeler out of his pocket.",0.2409,She wants to swim,0,"After her exchange with the lifeguard Rebecca sits sulking on the beach for a good twenty minutes desperate to swim on such a lovely day. Then all of a sudden she notices the lifeguard leaving their post and walking towards the lifeguard cabin further up the beach. Seeing an opportunity Rebecca runs to the water and begins swimming. 'They can't stop her now' she thinks after she makes it a good twenty metres out.  Then all of a sudden she feels a sharp pain run through her left leg, then again on her right, then numerous times all over her lower body. The pain is paralysing and she begins to sink. As he head is submerged she frantically looks around for the cause. Through her goggles all she can she around her are jellyfish",-0.009375,A bottle of wine,0,"During the conversation Sally offhandedly mentions being unable to get any wine. As the pair get to their houses, the neighbour tells Sally to wait where she is, and they disappear into their house, and after a few minutes they reappear with a bottle of wine for her. ",-0.11315,For a business meeting.,0,"After being dropped off at the wrong building Belinda chose to walk the rest of the way to her destination, as it was a nice day and she had a good few hours before the meeting started. After a few minutes of walking she heard a beep from behind, as a car pulled up beside her. Rolling down their window, the driver revealed themselves to be one of the business partners that would be present at the meeting, they told her they were just popping out to grab some lunch and invited her to come along.",0.127266667,A new car,0,"Lucy and dealer come to deal, her old car for £250, which after being told it was worth nothing seemed like a pretty good deal for her. A few weeks later when looking around the same dealership for her new car, she comes across her old one being resold with a new paint job for £15,000. When questioning the dealer about this they tell her after another inspection the car was actually in really good condition and just needed some fresh paint.",0.213333333,To have his breakfast.,0,"Micheal remembers the good old days of living with his roommate Andy who unlike Micheal was very organised, and would always keep the kitchen stocked with everything the pair of them needed for a good cup of tea. Then as he stared into the pot, Micheal's phone buzzed, he had a text from Andy.",0.35015,He wants to phone his mum to let her know she is safe,0.4404,"On his mothers end Seans voice is dropping in and out, and she can only make out a few words. At one point the only words she makes out are 'help...........me' and the call completely drops.  Seans mother phones the police, who then contact their countries embassy who then begin a hunt for Sean.",0,No,
12,"Sep 11, 2020 10:47:04 am","Sep 11, 2020 10:57:36 am",Complete,,,,English,,1599835624_5f5b8de8b80132.51811587,positive,absent,5edf196f0ad20d1c592b6f29,0,She hasn't seen them for a couple of weeks.,0,The birds fly off.,0,"The red team, in football.",0,They lose 5-4.,-0.4019,As he has been working hard for months,-0.1027,He spends the entire time naked.,0,Having a dinner party,0.4019,"When he looks down, the potatoes were peeled.",0,Go for a swim in the sea,0,Rebecca gets eaten by a shark,0,A bottle of wine.,0,The neighbour gives her wine,0,For a business meeting,0,The meeting was moved to that office,0,A new car,0,The car dealer gives her a car,0,To have his breakfast,0,"When he looked down, his cup was full",0,To contact his mother.,0,His mother walks around the corner.,0,No,
13,"Sep 11, 2020 10:47:00 am","Sep 11, 2020 10:56:23 am",Complete,,,,English,,1599835620_5f5b8de432b7c9.10347755,positive,absent,5ef21a978041c001e2b10a9b,0,She hasn't seen them in a few weeks.,0,A stranger opens the door to Sarah.,0,"The blue team wants to win against the red team, in a football game.",0.5859,Lightning strikes a nearby tree and it catches on fire. ,-0.5994,Because he has been working hard for months. ,-0.1027,A stranger approaches him with his lost luggage in hand.,0.2263,Having a dinner party.,0.4019,John's fridge freezer short circuits.,0,Go for a swim in the sea.,0,Rebecca is caught in a riptide and pulled out to sea.,0,A bottle of wine.,0,A stray cat runs up to Sally for a head scratch.,0,For a business meeting. ,0,A pigeon flies overhead and poops on her.,0,A new car. ,0,Lucy wins the lottery.,0.5719,To have breakfast.,0,Michael has a seizure. ,0,Sean wants to contact his mother to let her know that he is safe.,0.4404,Sean is almost struck by a swerving motorcycle. ,-0.1796,No,
14,"Sep 11, 2020 10:48:35 am","Sep 11, 2020 11:18:39 am",Complete,,,,English,,1599835715_5f5b8e43bd5423.35178617,positive,absent,5dc0b5fc0016bb061eaec90c,0,She hasn't seen them for a few weeks so wanted to check they are ok and have a catch up and see them in person.,0.296,Sarah's mum opens the door and invites her in. She tells Sarah that her dad is in hospital and they didn't want to worry her as she wasn't allowed to visit him and he was getting better.,0.31145,The Blue team want to win against the Red team playing football.,0.7096,The Blue team have their star striker and goalkeeper both sent off and the game goes into extra time. The Red team wins on penalties. ,0.28595,He has been working hard for months and wants a break.,-0.1027,"Bill had to buy himself some clothes while he waited for the airline to contact him about his lost luggage and as he was out shopping in a local boutique, he explained what happened to the store assistant.  They struck up an instant connection and went out for a date. They fell in love, got married and lived happily ever after!",0.0919,Having a dinner party.,0.4019,"John finished the potatoes and went to fetch the very fancy and expensive salmon that needed marinating. As it was on the worktop, their very naughty and mischievous cat, Mitchell, stole it and they had to serve up Turkey Twizzlers in its place. They did not go well with the 1985 bottle of Sauvignon Blanc ",-0.068566667,She wants to go for a swim in the sea.,0,"Rebecca is disappointed but goes back to her sun lounger.  As she is reading her book, she hears a commotion down at the water's edge.  She looks up and sees a group of people dragging a teenage boy put of the foam, and his friend was yelling Shark! Shark! All the proper authorities were called and the boy survived. Rebecca felt very glad she listened to the lifeguards advice!",0.224183333,A bottle of wine.,0,"It turns out, Sally has a lot in common with her neighbour. They swap numbers, arrange   outings and they become best friends. ",0.4037,Belinda is going to LA for a business meeting.,0,The taxi gets stuck in a protest parade. People everywhere and then suddenly riot police turn up with water cannons and things turn from a peaceful protest to an all out warfare between the protestors and the police. Belinda is stuck in the taxi with nowhere to go and she misses her meeting.,-0.485533333,A new car.,0,"She gets in touch with an online car company to give her a quote on selling her car.  She was their 1,000,000th customer and they dispose of her car and she wins a brand new top of the line car! She doesn't need the loan after all!",0.2332,To have his breakfast.,0,Michael decides to boil the kettle anyways and have coffee instead.  There was a knock at the door and friends who he hasn't seen since his university days where standing there holding a box of PG Tips! What a lovely unexpected surprise!,0.42,Contact his mother to let her know he is ok.,0.296,It turns out Sean never gets to talk to his mother. A drunk driver swerves out of control and instantly kills him as he was just about to say hello. ,-0.3548,No,
15,"Sep 11, 2020 10:48:13 am","Sep 11, 2020 11:13:03 am",Complete,,,,English,,1599835693_5f5b8e2d7a9876.23815515,positive,absent,5f062682437e3d15508d5341,0,Because she hasn't seen them for a few weeks. ,0,I think there was no answer to her knocking on the door.  ,-0.296,The red team and at football. ,0,They concede at least one goal at the start of the second half.  ,0,He has been working hard for months. ,-0.1027,His luggage was found after he returned from holiday. ,0.4019,Having a dinner party. ,0.4019,He finds his peeler. ,0,She wants to go for a swim in the sea. ,0,She decides to continue with her swim ignoring the lifeguards advice. ,-0.4019,A bottle of wine. ,0,Her neighbour gives her or offers to sell her a bottle of wine of their own. ,0,To attend a business meeting. ,0,She has difficulty finding the correct venue and arrives late. ,-0.34,A new car. ,0,The car dealer offered to knock some money off the new car even though her old car was worthless. ,-0.4404,To have his breakfast. ,0,He decided to forgo his tea like he used to at university. ,0.3612,Tell his mother he is safe. ,0.4404,His mother answers his call even though the signal is weak. ,-0.4404,No,
16,"Sep 11, 2020 10:48:10 am","Sep 11, 2020 11:03:44 am",Complete,,,,English,,1599835690_5f5b8e2a282ba3.19552726,positive,absent,579ccf9ebaec1b0001698960,0,She hasn't seen them in a while.,0,Someone other than her parents answers the door.,0,"The Red Team, in football.",0,The Red Team play much better in the second half and beat the Blue Team.,0.6486,He has been hard at work for months.,-0.1027,Bill has a holiday romance.,0.743,Throwing a dinner party.,0.4019,John finds the peeler somewhere unusual.,0,She want's to swim in the sea.,0,A school of sharks is seen swimming close to the beach.,0,A bottle of wine.,0,"The neighbour reveals that s/he owns a vineyard, and offers Sally a free case of wine.",0.5106,For a business meeting.,0,She bumps into someone she knows from back home.,0,A new car.,0,Lucy finds a bag of £50 notes in the boot of the new car.,0,To eat breakfast.,0,He receives a phone call from one of his old university friends who he's not heard from in years.,0.4767,He wants to let his mother know he is ok.,0.296,The person who answers the phone isn't Sean's mother.,0,No,
17,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:02:07 am",Complete,,,,English,,1599835700_5f5b8e34af5893.34485354,positive,absent,5e6590b83b1ae1317a3230a9,0,She misses them and wants to catch up with them.,-0.2263,Her parents might not be at home.,0,They want to win against the Red team in football.,0.6249,The red team got more than four goals after half-time and beat the blue team.,0,He hasn't had a break from work for a long time.,0,His luggage and passport appear in his hotel room just before he needs them to go back home.,0,Having a dinner party.,0.4019,His wife announces shes pregnant.,0,swim in the sea,0,a tsunami happens ,0,a bottle of wine,0,her neighbour had a heart attack on the walk home,-0.4767,to attend a business meeting,0,Barak Obama turns up to attend the meeting also,0,a new car,0,"she buys a second hand car, and while cleaning it she finds a lottery ticket in one of the pockets which wins her 10 thousand pounds.",0.7845,To get some food to eat from the kitchen.,0,A friend from his uni days calls him and asks for a catch up.,0.4939,Talk to his mother on the phone to let her know that he is safe,0.4404,he got robbed and his phone and belongings stolen from him,-0.4939,No,
18,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:05:00 am",Complete,,,,English,,1599835700_5f5b8e34122b37.47798905,positive,absent,5c484b16c41b2a000183c837,0,hasnt seen them in a few weeks,0,she knocked so hard she knocked a hole in the door,-0.2183,"the red team, football",0,"the red team come out after half time and smash 12 passed the blue team, winning the game",0.5267,hes been working hard for months,-0.1027,bill remembers that he didnt pack his passport in his case. it was actually in his hand all along,0.24695,having a dinner party,0.4019,john remembers that he has no wife and actually he's been talking to a life size cut out of john cena for years,-0.5106,go for a swim in the sea,0,david hasslehoff teleports to the beach and overrides the life guards decision. ,0,a bottle of wine,0,"sally and her neighbour decide that they both need wine and decide to break in to the shop. the get caught by the rozzers, Sally gets banged u fir 2 years.  Dont drink kids",0,for a business meeting,0,Belinda calls an uber but optimus prime turns up and takes her to the correct office,0,a new car,0,lewis hamilton arrives in a merc and gifts it to lucy,0,to have his breakfast,0,then michael realises that he actually doesn't like tea at all  and has never been to uni. and he is actually a goat,-0.13775,contact his mother,0,"david beckham turns up with a phone mast, increasing the signal. ",0,No,
19,"Sep 11, 2020 10:49:06 am","Sep 11, 2020 11:02:05 am",Complete,,,,English,,1599835745_5f5b8e61e6e0e4.29555164,positive,absent,5c5f61170a2a3c000123dc45,0,Hasn't seen them for a while,0,Someone else answers the door?,0,The Red team.Football.,0,The Red team score 5 goals in the second half.,0,he has been working hard,-0.1027,his luggage is found,0,dinner party,0.4019,guests cancelled,-0.25,wants to go for a swim,0,an accident,-0.4767,wine,0,the neighbour invites her in for wine,0,business meeting,0,gets lost,-0.3182,a new car,0,no idea,-0.296,To have breakfast,0,No idea,-0.296,contact his mother,0,signal fails,-0.4215,No,
20,"Sep 11, 2020 10:47:05 am","Sep 11, 2020 10:59:51 am",Complete,,,,English,,1599835625_5f5b8de9b0b720.78518854,positive,absent,5e6b9983d4948e1491e34553,0,Because she hasn't seen them for a few weeks,0,Nobody answered the door!,0,The blue team want to win against the red team in the sport football,0.6249,A streaker ran across the pitch,0,Because he's been working hard for months waiting for this holiday,0.4069,How did Bill go on holiday when he lost his passport? Bill did not have a great time on his holiday and now has to file a missing baggage claim and also shell out for a new passport,-0.1588,Having a dinner party,0.4019,"John drops the pot of potatoes on the floor by accident, this was not a good job says his wife",-0.6711,To go for a swim in the sea,0,A shark appears! The lifeguard was right and begins to punch the shark in the head,0,A bottle of lovely jubbly oh so bubbly wine,0.5859,Her neighbour offered her a bottle of wine,0,For a business meeting,0,She got dropped off at the wrong address!,-0.5255,A new car!,0,Someone else at the dealership offered to buy her car from her in cash,0,MICHAEL goes downstairs to make some Tea,0,Suddenly the kettle boiled over and hot water went everywhere!,0,Contact his mother to let her know he's safe,0.4404,His phone dies from low battery,-0.2732,No,
