,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bank denies loan/problem with loan,gets in accident/crashes car,car breaks down/needs repairs,gets scammed,other,car is a transformer or alive,"gets something other than new car (bike, motorcycle, uber)",gets money from old car or its parts (from dealer or other offer),wins lottery/gets  money (not from selling car),bank approved loan,gets car other way,"gets a good deal on the new car (less expensive, trade in goo value)",decides to keep old car,car worth more than expected,negative,positive,neither,Word Given in Scenario,Word Not Given,controllable,uncontrollable,neither
,random,session_id,participant_id,status,started_datetime,completed_date_time,time_taken,age,reviewed_at_datetime,entered_code,Nationality,Sex,Response ID,Time Started,Date Submitted,Status,Contact ID,Legacy Comments,Comments,Language,Referer,SessionID,valence_condition,means_condition,user_id,material.variable,material,variable,response,ll_neg_ans1,ll_neg_ans2,ll_neg_ans3,ll_neg_ans4,ll_other,ll_other1,ll_other2,ll_pos_ans1,ll_pos_ans2,ll_pos_ans3,ll_pos_ans4,ll_pos_ans5,ll_pos_ans6,ll_pos_ans7,neg,pos,neither,goal_object,non_goal_object,controllable,uncontrollable,neither_control
3418,0.661568697,5f5b8ebadae8082ed20b93fb,5a0c4184fe645f0001e9f5dd,APPROVED,50:39.5,01:16.4,636.891,36,40:49.9,510FA8B2,United Kingdom,Female,29,"Sep 11, 2020 10:50:41 am","Sep 11, 2020 11:01:11 am",Complete,,,,English,,1599835841_5f5b8ec1b66b21.58174034,positive,absent,5a0c4184fe645f0001e9f5dd,lucy_loan.response,lucy_loan,response,Someone she knows is looking for a car and is happy to pay her more than she expected.,,,,,,,,,,,,,,1,,1,,1,,,1,
3485,0.867688758,5f5b66ae6c48aa07556fd141,5c3811791ede2b000115555b,APPROVED,59:45.1,11:01.4,676.227,35,16:35.9,4DE9B385,United States,Male,35,"Sep 11, 2020 7:59:46 am","Sep 11, 2020 8:10:58 am",Complete,,,,English,,1599825586_5f5b66b2ce0642.11886456,positive,present,5c3811791ede2b000115555b,lucy_loan.response,lucy_loan,response,Lucy gets hit with a huge car insurance bill for her new car.,,,,,1,,,,,,,,,,1,,,1,,,,1
3340,0.916670263,5f5ced7ac81d3650b69f07be,5f5a5ff6b17ec410b0b437f9,APPROVED,51:45.8,35:32.8,2626.953,44,09:24.5,3833C7F5,United States,,18,"Sep 12, 2020 11:52:00 am","Sep 12, 2020 12:35:24 pm",Complete,,,,English,,1599925919_5f5cee9fe59874.43723846,negative,absent,5f5a5ff6b17ec410b0b437f9,lucy_loan.response,lucy_loan,response,I don't think she got a loan from the bank,1,,,,,,,,,,,,,,1,,,1,,,,1
3483,0.215043252,5f5b669a1c93d2292d694c00,5d66c1382d1a18000170759b,APPROVED,01:27.9,09:30.1,482.158,25,16:32.0,4DE9B385,United Kingdom,Female,44,"Sep 11, 2020 8:01:29 am","Sep 11, 2020 8:09:27 am",Complete,,,,English,,1599825689_5f5b6719c4d1e6.88616502,positive,present,5d66c1382d1a18000170759b,lucy_loan.response,lucy_loan,response,Someone offers her more money than the dealer,,,,,,,,1,,,,,,,,1,,1,,,1,
3398,0.699693396,5f5b8d91d39af52e8a670acd,5adf2a17c2b5db0001d8dc29,APPROVED,45:42.5,04:28.9,1126.389,44,40:10.6,510FA8B2,United Kingdom,Female,8,"Sep 11, 2020 10:45:44 am","Sep 11, 2020 11:04:26 am",Complete,,,,English,,1599835544_5f5b8d98ba73c9.26206518,positive,absent,5adf2a17c2b5db0001d8dc29,lucy_loan.response,lucy_loan,response,SHe says she will sell it anyway as she has too many children to fit into her current car ,,,,,1,,,,,,,,,,,,1,1,,1,,
3380,0.739069214,5f5cf0b7b79c5f0b9cc58fa6,5bfc0eb58422770001d9b668,APPROVED,00:55.4,13:41.0,765.554,36,10:46.9,3833C7F5,United Kingdom,Female,43,"Sep 12, 2020 12:00:59 pm","Sep 12, 2020 12:13:33 pm",Complete,,,,English,,1599926459_5f5cf0bbcf2df8.41541557,negative,absent,5bfc0eb58422770001d9b668,lucy_loan.response,lucy_loan,response,someone comes and buys her old car,,,,,,,,1,,,,,,,,1,,1,,,1,
3378,0.180750502,5f5cf08fd39af550d0f22342,5c3cb9759883d4000141f800,APPROVED,00:20.4,30:51.7,1831.238,49,10:42.4,3833C7F5,United Kingdom,Male,44,"Sep 12, 2020 12:00:23 pm","Sep 12, 2020 12:30:47 pm",Complete,,,,English,,1599926423_5f5cf097272801.33303798,negative,absent,5c3cb9759883d4000141f800,lucy_loan.response,lucy_loan,response,the car dealer offers her a great deal,,,,,,,,1,,,,,,,,1,,1,,,1,
3410,0.362086028,5f5b8e292be30c2ec8597664,5ed814fc9e50c230c1efb63c,APPROVED,49:39.0,03:44.7,845.653,47,40:33.9,510FA8B2,United Kingdom,Male,21,"Sep 11, 2020 10:49:41 am","Sep 11, 2020 11:03:42 am",Complete,,,,English,,1599835781_5f5b8e85b40de4.01795178,positive,absent,5ed814fc9e50c230c1efb63c,lucy_loan.response,lucy_loan,response,"The bank cancelled her loan and she has no car, either old or new.",1,,,,,,,,,,,,,,1,,,1,,,,1
3389,0.450130049,5f5cf11ede3d5450b94bd1ed,5c8a616f692c6100013c845d,APPROVED,02:44.7,11:33.9,529.182,23,11:05.6,3833C7F5,United Kingdom,Female,52,"Sep 12, 2020 12:02:47 pm","Sep 12, 2020 12:11:30 pm",Complete,,,,English,,1599926567_5f5cf127299f63.52774819,negative,absent,5c8a616f692c6100013c845d,lucy_loan.response,lucy_loan,response,She sells the old car to someone who wants it for a lot of money.,,,,,,,,1,,,,,,,,1,,1,,1,,
3424,0.762559311,5f5b8f114f16612d2a197555,5d558c262d8a6200172a8b7b,APPROVED,52:13.1,59:33.0,439.961,33,41:03.2,510FA8B2,United Kingdom,Male,36,"Sep 11, 2020 10:52:15 am","Sep 11, 2020 10:59:30 am",Complete,,,,English,,1599835935_5f5b8f1f660f36.24511853,positive,absent,5d558c262d8a6200172a8b7b,lucy_loan.response,lucy_loan,response,She realises cars are horrible and buys a cargo bike instead.,,,,,,,1,,,,,,,,,,1,1,,1,,
3302,0.203521638,5f5bc3dfa6d2af35a38b0673,58c3d3caabafb2000142055f,APPROVED,37:26.4,46:29.0,542.617,58,58:30.7,40D80FA4,United Kingdom,Female,16,"Sep 11, 2020 2:37:30 pm","Sep 11, 2020 2:46:21 pm",Complete,,,,English,,1599849450_5f5bc3ea376033.34957996,negative,present,58c3d3caabafb2000142055f,lucy_loan.response,lucy_loan,response,She decides to keep her old car.,,,,,,,,,,,,,1,,,,1,1,,1,,
3332,0.577084134,5f5bc5fa71abb236faeb0338,5d53bdc9b18d590018dac171,APPROVED,46:22.4,54:04.9,462.487,58,59:31.6,40D80FA4,United Kingdom,Female,51,"Sep 11, 2020 2:46:24 pm","Sep 11, 2020 2:54:01 pm",Complete,,,,English,,1599849984_5f5bc60081d150.89902793,negative,present,5d53bdc9b18d590018dac171,lucy_loan.response,lucy_loan,response,She changes her mind.,,,,,,,,,,,,,1,,,,1,,1,1,,
3399,0.739188051,5f5b8dd0f7a8c72e7f3b15bc,5f310877a901af046cd5f569,APPROVED,46:44.7,29:46.5,2581.765,27,40:12.5,510FA8B2,United Kingdom,Male,11,"Sep 11, 2020 10:46:49 am","Sep 11, 2020 11:29:45 am",Complete,,,,English,,1599835609_5f5b8dd9408a59.58234306,positive,absent,5f310877a901af046cd5f569,lucy_loan.response,lucy_loan,response,"Lucy and dealer come to deal, her old car for £250, which after being told it was worth nothing seemed like a pretty good deal for her. A few weeks later when looking around the same dealership for her new car, she comes across her old one being resold with a new paint job for £15,000. When questioning the dealer about this they tell her after another inspection the car was actually in really good condition and just needed some fresh paint.",,,,1,,,,,,,,,,,1,,,1,,,1,
3392,0.179198607,5f5d2b5e40d99b56d75ddb03,5eeaff28cf5da71d691ef212,APPROVED,11:10.4,40:52.7,1782.304,21,45:09.2,3833C7F5,United States,Male,60,"Sep 12, 2020 4:11:13 pm","Sep 12, 2020 4:40:50 pm",Complete,,,,English,,1599941473_5f5d2b613f05f7.02520687,negative,absent,5eeaff28cf5da71d691ef212,lucy_loan.response,lucy_loan,response,"A customer overhears Lucy talking with the car dealer, and pulls her aside and offers her double the price she paid for the old car. The customer happens to have a knack for old cars and Lucy's car is the model he was looking for to finish his car collection. ",,,,,,,,1,,,,,,,,1,,1,,,1,
3360,0.398842798,5f5cef9f52e427506c38aea2,599180ed9d487e0001ac3b5a,APPROVED,57:13.8,15:45.1,1111.262,48,10:05.0,3833C7F5,United Kingdom,Male,30,"Sep 12, 2020 11:57:16 am","Sep 12, 2020 12:15:41 pm",Complete,,,,English,,1599926236_5f5cefdcc2c299.29718436,negative,absent,599180ed9d487e0001ac3b5a,lucy_loan.response,lucy_loan,response,She sells her old car for more than expected; the buyer is really happy with it; therefore the loan she needs is smaller than expected.,,,,,,,,,,,,,,1,,1,,1,,1,,
3397,0.296288821,5f5b8d33f7a8c72f233875f6,5e417093c3444f000ac9cb1e,APPROVED,44:10.1,09:58.2,1548.06,33,40:08.6,510FA8B2,United Kingdom,Male,7,"Sep 11, 2020 10:44:11 am","Sep 11, 2020 11:09:56 am",Complete,,,,English,,1599835451_5f5b8d3bdda956.75964770,positive,absent,5e417093c3444f000ac9cb1e,lucy_loan.response,lucy_loan,response,She finds money hidden in the door panel of her new car,,,,,,,,,1,,,,,,,1,,1,,,,1
3474,0.212596173,5f5b65fd1a328c28d73f4b5c,5e39769ea9cf94187e49eed5,APPROVED,56:45.3,01:14.8,269.534,31,16:12.3,4DE9B385,United Kingdom,Female,25,"Sep 11, 2020 7:56:47 am","Sep 11, 2020 8:01:12 am",Complete,,,,English,,1599825407_5f5b65ff65c4a0.87536722,positive,present,5e39769ea9cf94187e49eed5,lucy_loan.response,lucy_loan,response,She decides to buy a new bike instead.,,,,,,,1,,,,,,,,,,1,,1,1,,
3353,0.338215111,5f5cef535b5eb4513c1fc793,5e8e3b906f414f0c392eb5b7,APPROVED,55:03.2,16:51.4,1308.143,18,09:50.5,3833C7F5,United Kingdom,Female,19,"Sep 12, 2020 11:55:04 am","Sep 12, 2020 12:16:49 pm",Complete,,,,English,,1599926104_5f5cef58d7f124.37579052,negative,absent,5e8e3b906f414f0c392eb5b7,lucy_loan.response,lucy_loan,response,a buyer turns up who is willing to pay thousands of pounds for the old car,,,,,,,,1,,,,,,,,1,,1,,,1,
3314,0.683535918,5f5bc5093d4e8b357b9ab665,5ed843fe0d2260359edd0013,APPROVED,42:17.4,13:56.6,1899.187,40,58:55.7,40D80FA4,United Kingdom,Male,34,"Sep 11, 2020 2:42:19 pm","Sep 11, 2020 3:13:55 pm",Complete,,,,English,,1599849739_5f5bc50b971fb7.59996869,negative,present,5ed843fe0d2260359edd0013,lucy_loan.response,lucy_loan,response,She crashes the new car on the journey home.,,1,,,,,,,,,,,,,1,,,1,,1,,
3413,0.943767542,5f5b8e9046c58b2e9ac2aabc,5c51d3e6a163ac0001721273,APPROVED,50:00.2,06:23.2,983.078,44,40:40.0,510FA8B2,United Kingdom,Male,27,"Sep 11, 2020 10:50:01 am","Sep 11, 2020 11:06:21 am",Complete,,,,English,,1599835801_5f5b8e999a8045.31894381,positive,absent,5c51d3e6a163ac0001721273,lucy_loan.response,lucy_loan,response,Another customer sees that her old car is a classic and asks if they can buy it,,,,,,,,1,,,,,,,,1,,1,,,1,
3433,0.90937091,5f5b8f8230ec6f2f11723545,5f3801cc3b78e908ea5b5ca9,APPROVED,53:58.8,08:35.6,876.869,58,41:18.5,510FA8B2,United Kingdom,Female,43,"Sep 11, 2020 10:54:00 am","Sep 11, 2020 11:08:34 am",Complete,,,,English,,1599836040_5f5b8f88c67024.13390191,positive,absent,5f3801cc3b78e908ea5b5ca9,lucy_loan.response,lucy_loan,response,"The old car screeches into life on its own and zooms away, across the forecourt, heading for home.",,,,,,1,,,,,,,,,,,1,1,,,1,
3330,0.452714182,5f5bc5f1def27f3626252a35,5c924468a5c1db00144f7fcb,APPROVED,46:11.4,56:52.5,641.037,35,59:27.6,40D80FA4,United Kingdom,Male,46,"Sep 11, 2020 2:46:12 pm","Sep 11, 2020 2:56:50 pm",Complete,,,,English,,1599849972_5f5bc5f4c5dc16.59408085,negative,present,5c924468a5c1db00144f7fcb,lucy_loan.response,lucy_loan,response,the car dealer changed his mind,,,,,1,,,,,,,,,,1,,,1,,,1,
3317,0.08289295,5f5bc5405bbf4b364b00061f,5f4555bdcad55b1274e7ebe1,APPROVED,43:15.3,52:56.6,581.237,21,59:01.6,40D80FA4,United Kingdom,Male,31,"Sep 11, 2020 2:43:17 pm","Sep 11, 2020 2:52:55 pm",Complete,,,,English,,1599849797_5f5bc545244ad8.71081308,negative,present,5f4555bdcad55b1274e7ebe1,lucy_loan.response,lucy_loan,response,"her new car, broke as she left the garage, but the garage refused to fix the car as she had left the forecourt",,,1,,,,,,,,,,,,1,,,1,,,1,
3350,0.318058687,5f5ceef16240ec51674619ef,5ea9eb06e3ba571520403fc6,APPROVED,53:24.7,13:04.5,1179.788,30,09:44.5,3833C7F5,United Kingdom,Female,14,"Sep 12, 2020 11:53:27 am","Sep 12, 2020 12:13:03 pm",Complete,,,,English,,1599926007_5f5ceef732e456.36342825,negative,absent,5ea9eb06e3ba571520403fc6,lucy_loan.response,lucy_loan,response,She keeps both cars.,,,,,,,,,,,,,1,,,,1,1,,1,,
3379,0.599011153,5f5cf09fef2d8e5006cb9e4e,5f3d23fbe324bf0387ebc78a,APPROVED,00:35.9,11:16.2,640.31,25,10:44.5,3833C7F5,United Kingdom,Female,48,"Sep 12, 2020 12:00:40 pm","Sep 12, 2020 12:10:52 pm",Complete,,,,English,,1599926440_5f5cf0a8b1c4d4.61730653,negative,absent,5f3d23fbe324bf0387ebc78a,lucy_loan.response,lucy_loan,response,She keeps the old car as it is worth nothing and is happy about both. ,,,,,,,,,,,,,1,,,1,,1,,1,,
3304,0.203875556,5f5bc42452e427362303b431,56671468d87e9100052f7f8b,APPROVED,38:34.9,46:11.6,456.679,26,58:34.7,40D80FA4,United Kingdom,Male,18,"Sep 11, 2020 2:38:37 pm","Sep 11, 2020 2:46:09 pm",Complete,,,,English,,1599849517_5f5bc42d5700a9.06998200,negative,present,56671468d87e9100052f7f8b,lucy_loan.response,lucy_loan,response,"The old car becomes damaged and no longer valuable, so Lucy feels able to keep it.",,,,,,,,,,,,,1,,,,1,1,,1,,
3492,0.652787273,5f5b66ea4aea45293aa546ea,59317a9fe7866d00016187e7,APPROVED,00:49.1,13:00.1,730.977,30,16:49.9,4DE9B385,United Kingdom,Female,41,"Sep 11, 2020 8:00:51 am","Sep 11, 2020 8:12:48 am",Complete,,,,English,,1599825651_5f5b66f3a0de49.45815472,positive,present,59317a9fe7866d00016187e7,lucy_loan.response,lucy_loan,response,she sells her car ,,,,,,,,1,,,,,,,,1,,1,,1,,
3393,0.780771065,5f5b8c4646d1422d8914c71f,5ee0f94d12ce930c1ab1d574,APPROVED,40:09.2,47:04.2,415.029,31,40:00.8,510FA8B2,Ireland,Female,4,"Sep 11, 2020 10:40:11 am","Sep 11, 2020 10:47:02 am",Complete,,,,English,,1599835211_5f5b8c4b0853e1.69449016,positive,absent,5ee0f94d12ce930c1ab1d574,lucy_loan.response,lucy_loan,response,her loan is approved ,,,,,,,,,,1,,,,,,1,,1,,,,1
3422,0.673318817,5f5b8f00cb0a652e6b724699,5eff17d115ba87434ab3829b,APPROVED,51:46.9,58:59.5,432.598,27,40:59.1,510FA8B2,United Kingdom,Female,32,"Sep 11, 2020 10:51:50 am","Sep 11, 2020 10:58:56 am",Complete,,,,English,,1599835910_5f5b8f067c3663.11912818,positive,absent,5eff17d115ba87434ab3829b,lucy_loan.response,lucy_loan,response,She wins a new car in an online raffle.,,,,,,,,,1,,,,,,,1,,1,,,1,
3375,0.896735979,5f5cf06c0fb28e51890f9407,5f11bad6f7955b06f00148ff,APPROVED,00:48.5,19:47.6,1139.149,61,10:36.7,3833C7F5,United Kingdom,Female,47,"Sep 12, 2020 12:01:36 pm","Sep 12, 2020 12:19:45 pm",Complete,,,,English,,1599926496_5f5cf0e0265591.22259518,negative,absent,5f11bad6f7955b06f00148ff,lucy_loan.response,lucy_loan,response,A  dealer driver accidentally backs into her old car and pushes it against the wall writing it off. The dealer offers her a good second hand car rather than deal with insurance.,,,,,,,,,,,1,,,,1,,,1,,,1,
3437,0.013038255,5f5b8fb9bacc022db3627cf5,5db186fc4e7b0b0019151944,APPROVED,55:28.4,12:01.0,992.554,32,41:26.6,510FA8B2,United Kingdom,Female,50,"Sep 11, 2020 10:55:32 am","Sep 11, 2020 11:11:58 am",Complete,,,,English,,1599836132_5f5b8fe4763385.88223309,positive,absent,5db186fc4e7b0b0019151944,lucy_loan.response,lucy_loan,response,Her parents offer to buy her the new car so that she doesn't need to take out a loan.,,,,,,,,,,,1,,,,,1,,1,,,1,
3372,0.542748182,5f5cf03c2f9ff7503b889485,5c54b2e0cf1cd900018cf6a6,APPROVED,00:19.0,14:37.2,858.162,45,10:30.6,3833C7F5,United Kingdom,Male,42,"Sep 12, 2020 12:00:23 pm","Sep 12, 2020 12:14:33 pm",Complete,,,,English,,1599926423_5f5cf097943926.71390799,negative,absent,5c54b2e0cf1cd900018cf6a6,lucy_loan.response,lucy_loan,response,She falls in love with the car dealer and keeps her old car,,,,,1,,,,,,,,,,,1,,1,,1,,
3467,0.669550767,5f5b65a447e6d8290e0ec103,5edede6f7863ed18db5830b1,APPROVED,55:19.2,01:20.5,361.26,20,15:40.6,4DE9B385,United Kingdom,Male,17,"Sep 11, 2020 7:55:22 am","Sep 11, 2020 8:01:18 am",Complete,,,,English,,1599825321_5f5b65a9ec55e6.11300086,positive,present,5edede6f7863ed18db5830b1,lucy_loan.response,lucy_loan,response,The car is valued at even higher than she expects,,,,,,,,,,,,,,1,,1,,1,,,1,
3324,0.711096137,5f5bc5c573b827360445d9fc,5decc61a488cde39be161a91,APPROVED,45:33.6,55:37.2,603.607,60,59:15.1,40D80FA4,United Kingdom,Male,42,"Sep 11, 2020 2:45:35 pm","Sep 11, 2020 2:55:35 pm",Complete,,,,English,,1599849935_5f5bc5cf589d97.53927342,negative,present,5decc61a488cde39be161a91,lucy_loan.response,lucy_loan,response,She discovers it's worth twice what he new car is costs.,,,,,,,,,,,,,,1,,1,,1,,,1,
3439,0.586802139,5f5b8fc41989292dc096359d,5c9034a2eedbd9001573ca14,APPROVED,55:54.4,12:31.4,997.008,56,41:30.5,510FA8B2,United Kingdom,Male,56,"Sep 11, 2020 10:55:58 am","Sep 11, 2020 11:12:26 am",Complete,,,,English,,1599836158_5f5b8ffe86be56.33689160,positive,absent,5c9034a2eedbd9001573ca14,lucy_loan.response,lucy_loan,response,"a person wants the old car for spare parts and offers £ 1,000 for it",,,,,,,,1,,,,,,,,1,,1,,,1,
3357,0.051654516,5f5cef805c73a34ff0a8773f,5e8fa4b58028052a7880c8ac,APPROVED,55:45.0,20:16.7,1471.797,40,09:59.0,3833C7F5,United Kingdom,Male,24,"Sep 12, 2020 11:55:47 am","Sep 12, 2020 12:20:14 pm",Complete,,,,English,,1599926147_5f5cef83b7a666.87919430,negative,absent,5e8fa4b58028052a7880c8ac,lucy_loan.response,lucy_loan,response,The dealer eventually gave her more than what she expected for her car,,,,,,,,,,,,,,1,,1,,1,,,1,
3498,0.580219385,5f5b678afff41228d0b38fbc,5f27278a54adfb0ac3556a03,APPROVED,03:22.1,16:40.2,798.148,40,16:57.3,4DE9B385,United Kingdom,Female,50,"Sep 11, 2020 8:03:25 am","Sep 11, 2020 8:16:32 am",Complete,,,,English,,1599825805_5f5b678dc97297.51081150,positive,present,5f27278a54adfb0ac3556a03,lucy_loan.response,lucy_loan,response,She wins the lottery,,,,,,,,,1,,,,,,,1,,,1,,1,
3430,0.772555512,5f5b8f4726f9002ebd527926,5eb417f51a17bb221ecf7803,APPROVED,52:59.9,03:01.5,601.648,30,41:14.8,510FA8B2,United Kingdom,Male,37,"Sep 11, 2020 10:53:01 am","Sep 11, 2020 11:02:58 am",Complete,,,,English,,1599835981_5f5b8f4daed741.41006171,positive,absent,5eb417f51a17bb221ecf7803,lucy_loan.response,lucy_loan,response,Lucy won a competition for a new car. she no longer has to take out a loan to purchase one.,,,,,,,,,,,1,,,,,1,,1,,,1,
3501,0.498325832,5f5b74db030497095e615bc1,5daa50967776b10016e1bc9b,APPROVED,01:38.6,24:57.6,1399.002,33,17:00.7,4DE9B385,United Kingdom,Male,57,"Sep 11, 2020 9:01:40 am","Sep 11, 2020 9:24:51 am",Complete,,,,English,,1599829299_5f5b7533e2d3f3.32200280,positive,present,5daa50967776b10016e1bc9b,lucy_loan.response,lucy_loan,response,"The bloke says he was only joking, it's knackered and you might get some scrap money if you're lucky.",,,,,1,,,,,,,,,,1,,,,1,,1,
3354,0.015033909,5f5cef59162162508656b173,5f2458749912ad00087e5677,APPROVED,55:05.7,31:07.8,2162.157,59,09:52.8,3833C7F5,United Kingdom,Female,20,"Sep 12, 2020 11:55:09 am","Sep 12, 2020 12:31:05 pm",Complete,,,,English,,1599926108_5f5cef5cdf7109.56196235,negative,absent,5f2458749912ad00087e5677,lucy_loan.response,lucy_loan,response,There was another customer looking at cars who saw Lucy's old one and made her an offer. ,,,,,,,,1,,,,,,,,1,,1,,,1,
3426,0.068225159,5f5b8f164e9b772deeeb7797,5eed11c3dea2cb12195f0c85,APPROVED,54:44.0,04:14.1,570.055,59,41:06.9,510FA8B2,United Kingdom,Female,44,"Sep 11, 2020 10:54:46 am","Sep 11, 2020 11:04:11 am",Complete,,,,English,,1599836086_5f5b8fb65a5db1.06507271,positive,absent,5eed11c3dea2cb12195f0c85,lucy_loan.response,lucy_loan,response,she happy got loan and doesnt care her old car worthless,,,,,,,,,,1,,,,,,1,,1,,1,,
