,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bank denies loan/problem with loan,gets in accident/crashes car,car breaks down/needs repairs,gets scammed,other,car is a transformer or alive,"gets something other than new car (bike, motorcycle, uber)",gets money from old car or its parts (from dealer or other offer),wins lottery/gets  money (not from selling car),bank approved loan,gets car other way,"gets a good deal on the new car (less expensive, trade in goo value)",decides to keep old car,car worth more than expected,negative,positive,neither,Word Given in Scenario,Word Not Given,controllable,uncontrollable,neither
3297,0.739935809,5f5bc3863c138636b64f0259,56163e6e7ffc8a0005812df2,APPROVED,35:55.9,44:33.9,518.062,42,58:20.7,40D80FA4,United Kingdom,Female,13,"Sep 11, 2020 2:35:59 pm","Sep 11, 2020 2:44:30 pm",Complete,,,,English,,1599849359_5f5bc38f1f8e01.10916955,negative,present,56163e6e7ffc8a0005812df2,lucy_loan.response,lucy_loan,response,she wins the lottery and has a new car and is able to keep the old one,,,,,,,,,1,,,,,,,1,,1,,,1,
3452,0.428395755,5f5b648a10ec482868f3e7d0,5bccc1c50f10750001d7d693,APPROVED,50:46.6,57:32.3,405.721,24,15:08.5,4DE9B385,United Kingdom,Female,5,"Sep 11, 2020 7:50:49 am","Sep 11, 2020 7:57:30 am",Complete,,,,English,,1599825049_5f5b649949cfe7.45042199,positive,present,5bccc1c50f10750001d7d693,lucy_loan.response,lucy_loan,response,She gets more than thousands for the car. ,,,,,,,,1,,,,,,,,1,,1,,,1,
3473,0.069068441,5f5b65f6d6397f0799604e4e,56c22e040a25f1000ae56894,APPROVED,56:44.7,05:15.4,510.764,38,16:10.0,4DE9B385,Ireland,Female,27,"Sep 11, 2020 7:56:48 am","Sep 11, 2020 8:05:12 am",Complete,,,,English,,1599825408_5f5b66001a24d4.29993396,positive,present,56c22e040a25f1000ae56894,lucy_loan.response,lucy_loan,response,Lucy crashes her car on the way home,,1,,,,,,,,,,,,,1,,,1,,1,,
3370,0.934003722,5f5cf026766c6f0b7154d628,5abea1621667e40001d82af2,APPROVED,58:35.4,10:10.9,695.528,36,10:25.9,3833C7F5,United Kingdom,Female,33,"Sep 12, 2020 11:58:37 am","Sep 12, 2020 12:10:09 pm",Complete,,,,English,,1599926317_5f5cf02d237656.59801427,negative,absent,5abea1621667e40001d82af2,lucy_loan.response,lucy_loan,response,She got a massive raise at work and was able to keep the old car and get a new one,,,,,,,,,,,,,1,,,1,,1,,1,,
3462,0.042747701,5f5b6568332910294f46d699,5e1b21bd07c9c73546a11776,APPROVED,54:18.8,01:08.4,409.569,43,15:29.8,4DE9B385,United Kingdom,Female,10,"Sep 11, 2020 7:54:22 am","Sep 11, 2020 8:01:06 am",Complete,,,,English,,1599825262_5f5b656e28ca35.63881166,positive,present,5e1b21bd07c9c73546a11776,lucy_loan.response,lucy_loan,response,Lucy makes a lot of money by selling her car,,,,,,,,1,,,,,,,,1,,1,,1,,
3377,0.575173401,5f5cf06ff0fc870ad60e2f61,5f0daa621b71130009e9b969,APPROVED,59:49.6,06:08.0,378.364,48,10:40.7,3833C7F5,United Kingdom,Female,41,"Sep 12, 2020 11:59:51 am","Sep 12, 2020 12:06:05 pm",Complete,,,,English,,1599926391_5f5cf077774ff2.12118617,negative,absent,5f0daa621b71130009e9b969,lucy_loan.response,lucy_loan,response,She decides to keep her old car as well as but her new one,,,,,,,,,,,,,1,,,1,,1,,1,,
3394,0.07476082,5f5b8c47be18672e38687421,5f52c34dbc9a931b2df43460,APPROVED,40:13.9,04:35.5,1461.618,25,40:02.9,510FA8B2,United States,Female,6,"Sep 11, 2020 10:41:46 am","Sep 11, 2020 11:04:21 am",Complete,,,,English,,1599835306_5f5b8caa0ff628.24387887,positive,absent,5f52c34dbc9a931b2df43460,lucy_loan.response,lucy_loan,response,She couldn't get the loan for a new car from the bank,1,,,,,,,,,,,,,,1,,,1,,,,1
3493,0.223596061,5f5b66ef6911870730e2e6a9,5e42855a6cc37110b1c4371e,APPROVED,00:47.5,11:03.6,616.082,34,16:52.0,4DE9B385,Ireland,Female,40,"Sep 11, 2020 8:00:50 am","Sep 11, 2020 8:11:02 am",Complete,,,,English,,1599825650_5f5b66f28b33f4.25503508,positive,present,5e42855a6cc37110b1c4371e,lucy_loan.response,lucy_loan,response,The engine of the new car falls out,,,1,,,,,,,,,,,,1,,,1,,,1,
3449,0.741039823,5f5b63aa5259ed28e139fff0,5c802134433e2d00172ac5d1,APPROVED,46:53.4,52:17.4,324.032,22,15:02.7,4DE9B385,United Kingdom,Female,2,"Sep 11, 2020 7:46:54 am","Sep 11, 2020 7:52:14 am",Complete,,,,English,,1599824814_5f5b63aeb478a4.21186435,positive,present,5c802134433e2d00172ac5d1,lucy_loan.response,lucy_loan,response,She gets an offer for even more money,,,,,,,,1,,,,,,,,1,,,1,,1,
3403,0.254293599,5f5b8de78f94512e048f062f,5e6b9983d4948e1491e34553,APPROVED,47:03.8,59:52.7,768.971,21,40:20.3,510FA8B2,United Kingdom,Male,20,"Sep 11, 2020 10:47:05 am","Sep 11, 2020 10:59:51 am",Complete,,,,English,,1599835625_5f5b8de9b0b720.78518854,positive,absent,5e6b9983d4948e1491e34553,lucy_loan.response,lucy_loan,response,Someone else at the dealership offered to buy her car from her in cash,,,,,,,,1,,,,,,,,1,,1,,,1,
3412,0.755459051,5f5b8e5974d6fd0d1e0a37c4,5c5f61170a2a3c000123dc45,APPROVED,49:03.2,02:09.3,786.18,52,40:38.1,510FA8B2,United Kingdom,Female,19,"Sep 11, 2020 10:49:06 am","Sep 11, 2020 11:02:05 am",Complete,,,,English,,1599835745_5f5b8e61e6e0e4.29555164,positive,absent,5c5f61170a2a3c000123dc45,lucy_loan.response,lucy_loan,response,no idea,,,,,1,,,,,,,,,,,,1,,1,,,1
3497,0.741743347,5f5b6785fcfd0828b993d6ac,59a1afb2fc0caa0001121c0c,APPROVED,03:22.2,17:04.1,821.893,39,16:56.4,4DE9B385,United Kingdom,Female,51,"Sep 11, 2020 8:03:23 am","Sep 11, 2020 8:17:01 am",Complete,,,,English,,1599825803_5f5b678bb8ce51.76651779,positive,present,59a1afb2fc0caa0001121c0c,lucy_loan.response,lucy_loan,response,She no longer needs the bank loan as the money from the sell of her old car will cover the cost of the new car she's fallen in love with.,,,,,,,,1,,,,,,,,1,,1,,,1,
3308,0.515801158,5f5bc4995b5eb43683559a08,5af5d34e25561e00013ab3d7,APPROVED,41:45.6,02:45.1,1259.543,54,58:42.1,40D80FA4,United Kingdom,Female,35,"Sep 11, 2020 2:41:47 pm","Sep 11, 2020 3:02:43 pm",Complete,,,,English,,1599849707_5f5bc4eb209680.45630015,negative,present,5af5d34e25561e00013ab3d7,lucy_loan.response,lucy_loan,response,the dealer offers her very good price for it and she can get the car she really likes,,,,,,,,1,,,,,,,,1,,1,,,1,
3451,0.88348771,5f5b646bf7a8c729929e42cf,5f0f226b649b4d06a15e63b8,APPROVED,50:07.0,57:10.6,423.578,46,15:06.9,4DE9B385,United Kingdom,Female,4,"Sep 11, 2020 7:50:08 am","Sep 11, 2020 7:57:08 am",Complete,,,,English,,1599825008_5f5b6470cf2588.26848925,positive,present,5f0f226b649b4d06a15e63b8,lucy_loan.response,lucy_loan,response,A bird pooed on her new car on the way home.,,,,,1,,,,,,,,,,1,,,1,,,1,
3316,0.068878301,5f5bc53e033f6436877fa6cf,5eb08db7b7c2711420b70629,APPROVED,43:10.6,53:32.8,622.199,24,58:59.7,40D80FA4,Ireland,Male,45,"Sep 11, 2020 2:43:13 pm","Sep 11, 2020 2:53:31 pm",Complete,,,,English,,1599849793_5f5bc541af0050.58149338,negative,present,5eb08db7b7c2711420b70629,lucy_loan.response,lucy_loan,response,"She sells the car and realises she got scammed, in actual fact, the car is worth a lot more then what she sold it for ",,,,1,,,,,,,,,,,1,,,1,,,,1
3291,0.131804849,5f5bc2e228e7913657a6f586,57719c19b425c40001433b1f,APPROVED,33:12.6,54:12.6,1259.944,24,58:08.7,40D80FA4,United Kingdom,Female,7,"Sep 11, 2020 2:33:16 pm","Sep 11, 2020 2:54:08 pm",Complete,,,,English,,1599849196_5f5bc2eca81b85.66670942,negative,present,57719c19b425c40001433b1f,lucy_loan.response,lucy_loan,response,someone who loves classic cars contacts her and offers to restore the car for her,,,,,1,,,,,,,,,,,1,,1,,,1,
3359,0.780904563,5f5cef9ba15e3f50500614ab,5e9a162fc140d109fe1a4618,APPROVED,56:14.2,09:05.1,770.902,23,10:03.3,3833C7F5,United Kingdom,Male,27,"Sep 12, 2020 11:56:29 am","Sep 12, 2020 12:08:58 pm",Complete,,,,English,,1599926189_5f5cefad9f1d65.29123744,negative,absent,5e9a162fc140d109fe1a4618,lucy_loan.response,lucy_loan,response,she decides to keep the old car instead,,,,,,,,,,,,,1,,,,1,1,,1,,
3300,0.78234421,5f5bc3a6fcfd0835f1518096,5b942e793fe4370001e627e0,APPROVED,37:49.5,41:38.5,228.979,66,58:26.9,733C401E,United Kingdom,Male,36,"Sep 11, 2020 2:42:03 pm","Sep 11, 2020 3:16:27 pm",Complete,,,,English,,1599849723_5f5bc4fb41b4c1.43770047,negative,present,5b942e793fe4370001e627e0,lucy_loan.response,lucy_loan,response,"Another customer, setting out on a test drive backed into her old car and dented it.",,1,,,,,,,,,,,,,1,,,1,,,1,
3434,0.52775652,5f5b8f8b67e28b2e7a9194e2,5b588565115d17000113f81e,APPROVED,54:11.8,07:37.3,805.546,24,41:20.7,510FA8B2,United Kingdom,Female,41,"Sep 11, 2020 10:54:15 am","Sep 11, 2020 11:07:35 am",Complete,,,,English,,1599836055_5f5b8f972d9761.01259450,positive,absent,5b588565115d17000113f81e,lucy_loan.response,lucy_loan,response,She goes to a more independent shop and they actually tell her her car has parts that aren't made anymore and so worth quite a bit of money so she manages to make at least a little bit off profit off it. And she goes to a new dealership for a new car. ,,,,,,,,1,,,,,,,,1,,1,,1,,
3438,0.272243448,5f5b8fc36962d20c5f66eb2c,55a14418fdf99b6ec83c244f,APPROVED,55:03.7,03:28.6,504.851,39,41:28.6,510FA8B2,United Kingdom,Female,46,"Sep 11, 2020 10:55:06 am","Sep 11, 2020 11:03:25 am",Complete,,,,English,,1599836106_5f5b8fca2fe2f4.41238896,positive,absent,55a14418fdf99b6ec83c244f,lucy_loan.response,lucy_loan,response,Another person in the car lot walks up to her and offers her a lot of money for her old car.,,,,,,,,1,,,,,,,,1,,1,,,1,
3358,0.760149965,5f5cef8e28e7915043b0cfaf,5c1c1e7fdbc4da000164934f,APPROVED,56:04.3,02:57.1,412.773,27,10:01.1,3833C7F5,United Kingdom,Female,22,"Sep 12, 2020 11:56:06 am","Sep 12, 2020 12:02:55 pm",Complete,,,,English,,1599926166_5f5cef964616a2.31053366,negative,absent,5c1c1e7fdbc4da000164934f,lucy_loan.response,lucy_loan,response,Someone buys the old car,,,,,,,,1,,,,,,,,1,,1,,,1,
3455,0.298055484,5f5b64d0377849287d55c04d,5c4b9e94ad466000019101d6,APPROVED,51:47.8,05:01.9,794.177,19,15:15.3,4DE9B385,United Kingdom,Female,7,"Sep 11, 2020 7:51:49 am","Sep 11, 2020 8:05:00 am",Complete,,,,English,,1599825109_5f5b64d569e992.94944504,positive,present,5c4b9e94ad466000019101d6,lucy_loan.response,lucy_loan,response,ends up getting paid millions for her old car ,,,,,,,,1,,,,,,,,1,,1,,,1,
3328,0.933916254,5f5bc5ebe2534b35c9a08b22,5f4a5983a08b215d74d2cd99,APPROVED,46:03.6,00:05.3,841.706,25,59:23.1,40D80FA4,United Kingdom,Male,47,"Sep 11, 2020 2:46:32 pm","Sep 11, 2020 3:00:01 pm",Complete,,,,English,,1599849992_5f5bc60832ff99.36860588,negative,present,5f4a5983a08b215d74d2cd99,lucy_loan.response,lucy_loan,response,"While pondering the sentimental value of her car, she fails to see the oncoming traffic and totals her 'classic' car. Lucy realises that hindsight is a wonderful thing.",,1,,,,,,,,,,,,,1,,,1,,1,,
3503,0.174485573,5f5b8279a9ba112c2644ea21,57fcf3770fc1ce0001f03aaa,APPROVED,58:19.7,03:01.9,282.235,30,17:03.1,4DE9B385,United Kingdom,Female,58,"Sep 11, 2020 9:58:21 am","Sep 11, 2020 10:03:00 am",Complete,,,,English,,1599832701_5f5b827d31cca8.03181250,positive,present,57fcf3770fc1ce0001f03aaa,lucy_loan.response,lucy_loan,response,The new car breaks down ,,,1,,,,,,,,,,,,1,,,1,,,1,
3459,0.84686632,5f5b653da5d80827ab014ce4,5c631c65787ee80001ffba5e,APPROVED,53:37.9,08:52.7,914.781,48,15:23.6,4DE9B385,United Kingdom,Female,12,"Sep 11, 2020 7:53:55 am","Sep 11, 2020 8:08:49 am",Complete,,,,English,,1599825235_5f5b65534fc858.61417286,positive,present,5c631c65787ee80001ffba5e,lucy_loan.response,lucy_loan,response,she gets the loan to improve her original car.,,,,,,,,,,1,,,,,,1,,1,,,,1
3484,0.855210695,5f5b669ad97994295e74b4d3,5d3a12fa3bc59d0001b05812,APPROVED,02:30.0,43:42.5,2472.428,61,16:33.9,4DE9B385,United Kingdom,Female,48,"Sep 11, 2020 8:02:33 am","Sep 11, 2020 8:43:38 am",Complete,,,,English,,1599825753_5f5b67591feef0.25113759,positive,present,5d3a12fa3bc59d0001b05812,lucy_loan.response,lucy_loan,response,Lucy is so surprised that she falls to the ground and bangs her head.,,,,,1,,,,,,,,,,1,,,,1,,,1
3445,0.539081614,5f5ba3f5033f64314701058d,5d49cec82c271d0001bbb252,APPROVED,21:13.2,27:38.6,385.452,23,41:42.5,510FA8B2,United Kingdom,Male,59,"Sep 11, 2020 12:21:14 pm","Sep 11, 2020 12:27:37 pm",Complete,,,,English,,1599841274_5f5ba3fa6eda42.97559004,positive,absent,5d49cec82c271d0001bbb252,lucy_loan.response,lucy_loan,response,The car dealer offers her a penny for her old car,,,,,1,,,,,,,,,,1,,,1,,,1,
3489,0.528678953,5f5b66ccf18ff20780af532b,595e7974af78da0001a21c3a,APPROVED,00:16.1,21:56.3,1300.171,44,16:44.0,4DE9B385,United Kingdom,Female,36,"Sep 11, 2020 8:00:18 am","Sep 11, 2020 8:21:53 am",Complete,,,,English,,1599825617_5f5b66d1f418e6.95750350,positive,present,595e7974af78da0001a21c3a,lucy_loan.response,lucy_loan,response,She gets enough money to buy a  new car outright from selling her old car,,,,,,,,1,,,,,,,,1,,1,,1,,
3355,0.794594241,5f5cef62a15e3f50500614aa,5eb6d725d573b55d52905dea,APPROVED,55:21.0,04:11.8,530.799,29,09:55.0,3833C7F5,United Kingdom,Male,21,"Sep 12, 2020 11:55:22 am","Sep 12, 2020 12:04:08 pm",Complete,,,,English,,1599926122_5f5cef6a657751.86655200,negative,absent,5eb6d725d573b55d52905dea,lucy_loan.response,lucy_loan,response,"Someone else in the car showroom is desperate for Lucy's car, and offers to buy it from her for way more than it's worth.",,,,,,,,1,,,,,,,,1,,1,,,1,
3347,0.699939462,5f5ceea94cddcc4fd7cf85d0,5b5f23420085cb0001872849,APPROVED,52:13.4,58:31.1,377.784,25,09:38.4,3833C7F5,United Kingdom,Female,11,"Sep 12, 2020 11:52:14 am","Sep 12, 2020 11:58:27 am",Complete,,,,English,,1599925934_5f5ceeaec570b5.85743875,negative,absent,5b5f23420085cb0001872849,lucy_loan.response,lucy_loan,response,She wins the lottery.,,,,,,,,,1,,,,,,,1,,,1,,1,
3320,0.429721777,5f5bc56876b36636cc45410f,5e9b6317fab83b069d085560,APPROVED,43:53.8,48:17.1,263.302,20,59:07.3,40D80FA4,United Kingdom,Male,33,"Sep 11, 2020 2:43:55 pm","Sep 11, 2020 2:48:15 pm",Complete,,,,English,,1599849835_5f5bc56bb04210.70946207,negative,present,5e9b6317fab83b069d085560,lucy_loan.response,lucy_loan,response,She refuses to sell because of emotional reasons,,,,,,,,,,,,,1,,,,1,1,,1,,
3303,0.539852774,5f5bc414d99525367aaf6936,5873b2d22bd3c90001859b76,APPROVED,38:16.8,53:48.2,931.413,41,58:32.8,40D80FA4,United Kingdom,Male,17,"Sep 11, 2020 2:38:18 pm","Sep 11, 2020 2:53:46 pm",Complete,,,,English,,1599849498_5f5bc41aa1efb7.17305624,negative,present,5873b2d22bd3c90001859b76,lucy_loan.response,lucy_loan,response,She decides to keep her old car.,,,,,,,,,,,,,1,,,,1,1,,1,,
3405,0.554988773,5f5b8e17b4ff950c45d4965b,5f062682437e3d15508d5341,APPROVED,48:10.3,13:07.4,1497.049,65,40:23.9,510FA8B2,United Kingdom,Male,15,"Sep 11, 2020 10:48:13 am","Sep 11, 2020 11:13:03 am",Complete,,,,English,,1599835693_5f5b8e2d7a9876.23815515,positive,absent,5f062682437e3d15508d5341,lucy_loan.response,lucy_loan,response,The car dealer offered to knock some money off the new car even though her old car was worthless. ,,,,,,,,,,,,1,,,,1,,1,,,1,
3436,0.725774767,5f5b8fac54e29c2e62f93a6e,5ed7f8500e41402d24c455e7,APPROVED,54:45.0,25:02.2,1817.17,23,41:24.5,510FA8B2,United Kingdom,Female,42,"Sep 11, 2020 10:54:46 am","Sep 11, 2020 11:25:00 am",Complete,,,,English,,1599836086_5f5b8fb6b227f1.36925213,positive,absent,5ed7f8500e41402d24c455e7,lucy_loan.response,lucy_loan,response,she won the lottery,,,,,,,,,1,,,,,,,1,,,1,,1,
3471,0.129150136,5f5b65e1feaaf928d7de77df,5f2aa1a87bf471304a994dff,APPROVED,56:27.9,04:40.2,492.326,30,16:05.8,4DE9B385,United Kingdom,Female,24,"Sep 11, 2020 7:56:37 am","Sep 11, 2020 8:04:39 am",Complete,,,,English,,1599825397_5f5b65f587ee38.06918633,positive,present,5f2aa1a87bf471304a994dff,lucy_loan.response,lucy_loan,response,on her way home from the car dealership she crashes her new car,,1,,,,,,,,,,,,,1,,,1,,1,,
3495,0.53690285,5f5b675555ee7f2986ad534c,5360c37cfdf99b02ccc08fcb,APPROVED,02:31.8,14:55.4,743.582,28,16:54.1,4DE9B385,United Kingdom,Female,43,"Sep 11, 2020 8:02:34 am","Sep 11, 2020 8:14:53 am",Complete,,,,English,,1599825754_5f5b675a04d780.46965082,positive,present,5360c37cfdf99b02ccc08fcb,lucy_loan.response,lucy_loan,response,Lucy decides to keep her old car as she didn't realise its value. ,,,,,,,,,,,,,1,,,1,,1,,1,,
3351,0.404081242,5f5cef114e9b77507940c037,55bbf175fdf99b47c7d10a22,APPROVED,53:57.0,04:51.6,654.655,27,09:46.5,3833C7F5,United Kingdom,Male,15,"Sep 12, 2020 11:53:58 am","Sep 12, 2020 12:04:49 pm",Complete,,,,English,,1599926038_5f5cef164d0aa2.44179562,negative,absent,55bbf175fdf99b47c7d10a22,lucy_loan.response,lucy_loan,response,"Lucy can't bare to sell her car. She pulls out of the sale, and decides not to get a new car. She then uses the loan to make some repairs to her old car, and spends the rest on a holiday",,,,,,,,,,,,,1,,,,1,1,,1,,
3502,0.981309709,5f5b8277edd1f72c084730d3,5efcd984f7176d0e6a59dd17,APPROVED,58:15.5,07:33.8,558.259,33,17:01.4,4DE9B385,United Kingdom,Female,59,"Sep 11, 2020 9:58:18 am","Sep 11, 2020 10:07:32 am",Complete,,,,English,,1599832698_5f5b827a850e54.39365824,positive,present,5efcd984f7176d0e6a59dd17,lucy_loan.response,lucy_loan,response,The loan falls through,1,,,,,,,,,,,,,,1,,,1,,,,1
3400,0.193849069,5f5b8dd12700562db3ad90b5,5e21d4156ebb72000df49f65,APPROVED,46:43.3,53:07.3,383.994,27,40:14.5,510FA8B2,United Kingdom,Female,9,"Sep 11, 2020 10:46:44 am","Sep 11, 2020 10:53:05 am",Complete,,,,English,,1599835604_5f5b8dd4d91a06.47265871,positive,absent,5e21d4156ebb72000df49f65,lucy_loan.response,lucy_loan,response,she is refused a loan,1,,,,,,,,,,,,,,1,,,1,,,,1
3383,0.663475625,5f5cf0d3efcdae500e1e7cbe,5a86e1a4eea3d300016e7981,APPROVED,01:28.3,11:03.6,575.25,42,10:53.0,3833C7F5,United Kingdom,Female,46,"Sep 12, 2020 12:01:29 pm","Sep 12, 2020 12:10:59 pm",Complete,,,,English,,1599926489_5f5cf0d9d4f5d0.14906376,negative,absent,5a86e1a4eea3d300016e7981,lucy_loan.response,lucy_loan,response,She wins a brand new car in a competition that she entered ,,,,,,,,,,,1,,,,,1,,1,,,1,
3301,0.431430926,5f5bc3cb66811136732c0a16,5eea2fdaa3634e0c0787e9fc,APPROVED,37:09.8,51:42.5,872.693,19,58:28.7,40D80FA4,United Kingdom,Female,15,"Sep 11, 2020 2:37:12 pm","Sep 11, 2020 2:51:38 pm",Complete,,,,English,,1599849432_5f5bc3d842dc60.62876022,negative,present,5eea2fdaa3634e0c0787e9fc,lucy_loan.response,lucy_loan,response,I think she keeps ends up being convinced to keep her old one.,,,,,,,,,,,,,1,,,,1,,1,1,,
3382,0.829433454,5f5cf0c76a1f025189b58a99,5ea33c4876aac42ade7bee42,APPROVED,01:13.7,09:47.8,514.147,39,10:51.1,3833C7F5,United Kingdom,Male,45,"Sep 12, 2020 12:01:15 pm","Sep 12, 2020 12:09:46 pm",Complete,,,,English,,1599926475_5f5cf0cb7bfa08.86950173,negative,absent,5ea33c4876aac42ade7bee42,lucy_loan.response,lucy_loan,response,"Her old car, possessed by the spirit of vengeance, crushes Lucy against a wall.",,,,,,1,,,,,,,,,1,,,1,,,1,
3345,0.369741742,5f5cee552e200e0ae343841f,5e5254e98564972649a270c2,APPROVED,50:50.4,08:13.2,1042.798,33,09:34.2,3833C7F5,United Kingdom,Female,9,"Sep 12, 2020 11:50:52 am","Sep 12, 2020 12:08:11 pm",Complete,,,,English,,1599925852_5f5cee5c0422b7.33304047,negative,absent,5e5254e98564972649a270c2,lucy_loan.response,lucy_loan,response,She kept her car because of sentimental reason. ,,,,,,,,,,,,,1,,,1,,1,,1,,
3411,0.736183167,5f5b8e2ea5a7ae2e779a52f0,5c484b16c41b2a000183c837,APPROVED,48:18.2,05:02.6,1004.417,34,40:35.7,510FA8B2,United Kingdom,Male,18,"Sep 11, 2020 10:48:20 am","Sep 11, 2020 11:05:00 am",Complete,,,,English,,1599835700_5f5b8e34122b37.47798905,positive,absent,5c484b16c41b2a000183c837,lucy_loan.response,lucy_loan,response,lewis hamilton arrives in a merc and gifts it to lucy,,,,,,,,,,,1,,,,,1,,,1,,1,
3435,0.454982288,5f5b8fa9f233b42f70e25d95,5d39bb499f4f3f00158298f2,APPROVED,56:10.8,01:05.1,294.297,37,41:22.6,510FA8B2,United Kingdom,Female,52,"Sep 11, 2020 10:56:12 am","Sep 11, 2020 11:00:58 am",Complete,,,,English,,1599836172_5f5b900c8caf03.22669113,positive,absent,5d39bb499f4f3f00158298f2,lucy_loan.response,lucy_loan,response,The dealer offers it to her for a reasonable price.,,,,,,,,,,,,1,,,,1,,1,,,1,
3333,0.646385341,5f5bc600d1be8b14f3b8ec71,5d55a0f63af827001981b8d6,APPROVED,46:32.7,54:34.4,481.777,53,59:33.6,40D80FA4,United Kingdom,Female,49,"Sep 11, 2020 2:46:34 pm","Sep 11, 2020 2:54:29 pm",Complete,,,,English,,1599849994_5f5bc60ab06406.35080168,negative,present,5d55a0f63af827001981b8d6,lucy_loan.response,lucy_loan,response,She wins some money so doesn't have to sell the car.,,,,,,,,,1,,,,,,,1,,1,,,,1